Побед;Победа или ничья;Игр;Побед %;Победа или ничья %;Поражение %;Первый гол не раньше минуты
87742;109003;124370;70.55%;87.64%;12.36%;0
87742;109003;124370;70.55%;87.64%;12.36%;1
83595;104089;118745;70.40%;87.66%;12.34%;2
79070;98347;111618;70.84%;88.11%;11.89%;3
76957;95725;108396;71.00%;88.31%;11.69%;4
74647;92899;105036;71.07%;88.44%;11.56%;5
72348;90090;101694;71.14%;88.59%;11.41%;6
70097;87282;98356;71.27%;88.74%;11.26%;7
67951;84618;95168;71.40%;88.91%;11.09%;8
65788;81912;91949;71.55%;89.08%;10.92%;9
63732;79349;88898;71.69%;89.26%;10.74%;10
61799;76930;86045;71.82%;89.41%;10.59%;11
59990;74614;83292;72.02%;89.58%;10.42%;12
58163;72318;80557;72.20%;89.77%;10.23%;13
56400;70098;77962;72.34%;89.91%;10.09%;14
54697;67956;75440;72.50%;90.08%;9.92%;15
53024;65879;73003;72.63%;90.24%;9.76%;16
51472;63954;70752;72.75%;90.39%;9.61%;17
49886;61992;68481;72.85%;90.52%;9.48%;18
48424;60139;66303;73.03%;90.70%;9.30%;19
47021;58364;64253;73.18%;90.83%;9.17%;20
45593;56619;62206;73.29%;91.02%;8.98%;21
44273;54984;60287;73.44%;91.20%;8.80%;22
42933;53325;58381;73.54%;91.34%;8.66%;23
41719;51803;56610;73.70%;91.51%;8.49%;24
40520;50306;54906;73.80%;91.62%;8.38%;25
39366;48846;53210;73.98%;91.80%;8.20%;26
38318;47482;51651;74.19%;91.93%;8.07%;27
37176;46045;50000;74.35%;92.09%;7.91%;28
36087;44676;48442;74.50%;92.23%;7.77%;29
34996;43334;46937;74.56%;92.32%;7.68%;30
33983;42047;45479;74.72%;92.45%;7.55%;31
33032;40838;44108;74.89%;92.59%;7.41%;32
32077;39628;42766;75.01%;92.66%;7.34%;33
31151;38446;41432;75.19%;92.79%;7.21%;34
30238;37285;40130;75.35%;92.91%;7.09%;35
29359;36174;38866;75.54%;93.07%;6.93%;36
28481;35064;37607;75.73%;93.24%;6.76%;37
27654;34000;36392;75.99%;93.43%;6.57%;38
26838;32936;35208;76.23%;93.55%;6.45%;39
26041;31914;34060;76.46%;93.70%;6.30%;40
25204;30881;32909;76.59%;93.84%;6.16%;41
24447;29920;31842;76.78%;93.96%;6.04%;42
23689;28974;30789;76.94%;94.11%;5.89%;43
22961;28018;29739;77.21%;94.21%;5.79%;44
22224;27065;28664;77.53%;94.42%;5.58%;45
20150;24401;25713;78.37%;94.90%;5.10%;46
19847;23985;25248;78.61%;95.00%;5.00%;47
19254;23265;24473;78.67%;95.06%;4.94%;48
18631;22490;23640;78.81%;95.14%;4.86%;49
17979;21646;22708;79.17%;95.32%;4.68%;50
17364;20871;21861;79.43%;95.47%;4.53%;51
16716;20068;20975;79.69%;95.68%;4.32%;52
16086;19268;20105;80.01%;95.84%;4.16%;53
15416;18415;19187;80.35%;95.98%;4.02%;54
14849;17687;18399;80.71%;96.13%;3.87%;55
14239;16928;17586;80.97%;96.26%;3.74%;56
13632;16184;16784;81.22%;96.43%;3.57%;57
13052;15466;16021;81.47%;96.54%;3.46%;58
12567;14849;15351;81.86%;96.73%;3.27%;59
12071;14212;14672;82.27%;96.86%;3.14%;60
11546;13536;13962;82.70%;96.95%;3.05%;61
11077;12937;13314;83.20%;97.17%;2.83%;62
10627;12362;12709;83.62%;97.27%;2.73%;63
10164;11789;12098;84.01%;97.45%;2.55%;64
9730;11253;11538;84.33%;97.53%;2.47%;65
9318;10748;11004;84.68%;97.67%;2.33%;66
8902;10224;10463;85.08%;97.72%;2.28%;67
8510;9744;9958;85.46%;97.85%;2.15%;68
8127;9281;9478;85.75%;97.92%;2.08%;69
7757;8834;9012;86.07%;98.02%;1.98%;70
7390;8390;8558;86.35%;98.04%;1.96%;71
7042;7971;8130;86.62%;98.04%;1.96%;72
6691;7549;7691;87.00%;98.15%;1.85%;73
6334;7123;7253;87.33%;98.21%;1.79%;74
5971;6683;6804;87.76%;98.22%;1.78%;75
5604;6239;6343;88.35%;98.36%;1.64%;76
5266;5837;5928;88.83%;98.46%;1.54%;77
4958;5479;5559;89.19%;98.56%;1.44%;78
4678;5139;5208;89.82%;98.68%;1.32%;79
4361;4786;4847;89.97%;98.74%;1.26%;80
4053;4422;4471;90.65%;98.90%;1.10%;81
3759;4085;4128;91.06%;98.96%;1.04%;82
3456;3747;3786;91.28%;98.97%;1.03%;83
3152;3399;3430;91.90%;99.10%;0.90%;84
2858;3063;3089;92.52%;99.16%;0.84%;85
2544;2713;2734;93.05%;99.23%;0.77%;86
2249;2396;2414;93.16%;99.25%;0.75%;87
1974;2093;2109;93.60%;99.24%;0.76%;88
1691;1787;1798;94.05%;99.39%;0.61%;89